Schema,Type Name,Type Category,Length,By Value,Type Modifier,Default Value
FH,FHAPCheckPrintTemplates,Composite,-1,False,-1,
FH,FHAPFinalizedRunDatas,Composite,-1,False,-1,
FH,FHAPInvoiceAccountLineCreditAmountLogs,Composite,-1,False,-1,
FH,FHAPInvoiceAccountLineDatas,Composite,-1,False,-1,
FH,FHAPInvoiceCheckDatas,Composite,-1,False,-1,
FH,FHAPInvoiceCheckPrintDatas,Composite,-1,False,-1,
FH,FHAPInvoiceCheckPrintLogs,Composite,-1,False,-1,
FH,FHAPInvoiceCreditAppliedDatas,Composite,-1,False,-1,
FH,FHAPInvoiceDatas,Composite,-1,False,-1,
FH,FHAPInvoiceNachaDatas,Composite,-1,False,-1,
FH,FHAPInvoiceNachaDetailDatas,Composite,-1,False,-1,
FH,FHAPInvoiceNachalogs,Composite,-1,False,-1,
FH,FHAPInvoiceNoteAttachmentDatas,Composite,-1,False,-1,
FH,FHAPInvoiceNotesDatas,Composite,-1,False,-1,
FH,FHAPParameterSettings,Composite,-1,False,-1,
FH,FHAPParameterSettingsInformations,Composite,-1,False,-1,
FH,FHAPPrintDataLogs,Composite,-1,False,-1,
FH,FHAPRunBankTransactionMappingDatas,Composite,-1,False,-1,
FH,FHAPRunJournalMappingDatas,Composite,-1,False,-1,
FH,FHARParameterSettings,Composite,-1,False,-1,
FH,FHARParameterSettingsInformations,Composite,-1,False,-1,
FH,FHARPaymentTypes,Composite,-1,False,-1,
FH,FHAccountBreakConfigurations,Composite,-1,False,-1,
FH,FHAccountLineBalanceTypes,Composite,-1,False,-1,
FH,FHAccountLineBreakDatas,Composite,-1,False,-1,
FH,FHAccountLineRangeConfigurations,Composite,-1,False,-1,
FH,FHAccountLineStatementTypes,Composite,-1,False,-1,
FH,FHAccountTypeLineBreakFormats,Composite,-1,False,-1,
FH,FHAccountingSettings,Composite,-1,False,-1,
FH,FHAccountsPaybleExportDatas,Composite,-1,False,-1,
FH,FHActivityAccountBreakDatas,Composite,-1,False,-1,
FH,FHAuditTrails,Composite,-1,False,-1,
FH,FHAuditTrails_Id_seq,Composite,-1,False,-1,
FH,FHBankAccountSetupDatas,Composite,-1,False,-1,
FH,FHBankPositivePay,Composite,-1,False,-1,
FH,FHBankReconcileStatementDatas,Composite,-1,False,-1,
FH,FHBankReconcileTransactionMappingDatas,Composite,-1,False,-1,
FH,FHBankTransactionDatas,Composite,-1,False,-1,
FH,FHBankTransactionFundDatas,Composite,-1,False,-1,
FH,FHBankTransactionTypeDatas,Composite,-1,False,-1,
FH,FHBookDatas,Composite,-1,False,-1,
FH,FHCashBalanceByBankAccountDatas,Composite,-1,False,-1,
FH,FHCashLineSetupDatas,Composite,-1,False,-1,
FH,FHCashReportGeneratedBankDatas,Composite,-1,False,-1,
FH,FHCashReportGeneratedBankOutstandingDatas,Composite,-1,False,-1,
FH,FHCashReportGeneratedGLAccountDatas,Composite,-1,False,-1,
FH,FHCashReportGeneratedLogs,Composite,-1,False,-1,
FH,FHCreditCardDepositGLDistributionDatas,Composite,-1,False,-1,
FH,FHDepartmentAccountBreakDatas,Composite,-1,False,-1,
FH,FHDistributionIdSetupDatas,Composite,-1,False,-1,
FH,FHExportCsvDatas,Composite,-1,False,-1,
FH,FHExportCsvLogDatas,Composite,-1,False,-1,
FH,FHFinalizeBudgetHistoryDatas,Composite,-1,False,-1,
FH,FHFinalizeBudgetStatusDatas,Composite,-1,False,-1,
FH,FHFontFamilyDatas,Composite,-1,False,-1,
FH,FHFontSizes,Composite,-1,False,-1,
FH,FHFontSizes_Code_seq,Composite,-1,False,-1,
FH,FHFonts,Composite,-1,False,-1,
FH,FHFonts_Code_seq,Composite,-1,False,-1,
FH,FHFrontDeskPayrixFundingDatas,Composite,-1,False,-1,
FH,FHFrontDeskPayrixFundingTransactionDatas,Composite,-1,False,-1,
FH,FHFundAccountBreakDatas,Composite,-1,False,-1,
FH,FHFundDepartmentRangeMappings,Composite,-1,False,-1,
FH,FHGLAccountDatas,Composite,-1,False,-1,
FH,FHGLBankCashLineDatas,Composite,-1,False,-1,
FH,FHGLBankTransferDatas,Composite,-1,False,-1,
FH,FHGLBudgetAmendLogs,Composite,-1,False,-1,
FH,FHGLBudgetDatas,Composite,-1,False,-1,
FH,FHGLEntryDatas,Composite,-1,False,-1,
FH,FHGLEntryRecurringDatas,Composite,-1,False,-1,
FH,FHGLEntryTemplateDatas,Composite,-1,False,-1,
FH,FHGLJournalDatas,Composite,-1,False,-1,
FH,FHGLJournalRecurringDatas,Composite,-1,False,-1,
FH,FHGLJournalRecurringSchedules,Composite,-1,False,-1,
FH,FHGLJournalTemplateDatas,Composite,-1,False,-1,
FH,FHGLJournalTemplates,Composite,-1,False,-1,
FH,FHGLParameterSettings,Composite,-1,False,-1,
FH,FHGLParameterSettingsInformation,Composite,-1,False,-1,
FH,FHGLRevenueCodeDatas,Composite,-1,False,-1,
FH,FHGLTransferLineDatas,Composite,-1,False,-1,
FH,FHGeneralLogs,Composite,-1,False,-1,
FH,FHGlARFrontDeskPaymentDatas,Composite,-1,False,-1,
FH,FHIVRPaymentDatas,Composite,-1,False,-1,
FH,FHIVRPaymentUploadFileDatas,Composite,-1,False,-1,
FH,FHPageSizes,Composite,-1,False,-1,
FH,FHPageSizes_Code_seq,Composite,-1,False,-1,
FH,FHPayrollCompletionTimeLogs,Composite,-1,False,-1,
FH,FHPrintFormatKeywords,Composite,-1,False,-1,
FH,FHPrintOrientations,Composite,-1,False,-1,
FH,FHPrintOrientations_Code_seq,Composite,-1,False,-1,
FH,FHProcessedReceiptRunDatas,Composite,-1,False,-1,
FH,FHProjectDatas,Composite,-1,False,-1,
FH,FHReceiptRunBankTransactionMappingDatas,Composite,-1,False,-1,
FH,FHReceiptRunJournalMappingDatas,Composite,-1,False,-1,
FH,FHReportConfigs,Composite,-1,False,-1,
FH,FHReportDataSources,Composite,-1,False,-1,
FH,FHReportFilterDatas,Composite,-1,False,-1,
FH,FHReportRelatedAccountBreakConfigurations,Composite,-1,False,-1,
FH,FHRevenueGLDistributionDatas,Composite,-1,False,-1,
FH,FHRevenueReceiptBatchDatas,Composite,-1,False,-1,
FH,FHRevenueReceiptDatas,Composite,-1,False,-1,
FH,FHRevenueReceiptGLDistributionDatas,Composite,-1,False,-1,
FH,FHRevenueReceiptPaymentRecordDatas,Composite,-1,False,-1,
FH,FHRevenueRecordDatas,Composite,-1,False,-1,
FH,FHStateDatas,Composite,-1,False,-1,
FH,FHStateDatas_Code_seq,Composite,-1,False,-1,
FH,FHTaxForm1096ContactPersonData,Composite,-1,False,-1,
FH,FHTaxFormPrintTemplates,Composite,-1,False,-1,
FH,FHTaxFormYearEndPrintLogs,Composite,-1,False,-1,
FH,FHTaxFormYearEndPrintVendorLogs,Composite,-1,False,-1,
FH,FHUBRevenueCodeDatas,Composite,-1,False,-1,
FH,FHUbARFrontDeskPaymentDatas,Composite,-1,False,-1,
FH,FHUbARReceiptBatchDatas,Composite,-1,False,-1,
FH,FHUbARReceiptDatas,Composite,-1,False,-1,
FH,FHUbARReceiptPaymentDatas,Composite,-1,False,-1,
FH,FHUbARReceiptPaymentRecordDatas,Composite,-1,False,-1,
FH,FHUbProcessedReceiptRunDatas,Composite,-1,False,-1,
FH,FHUbProcessedReceiptRunlogs,Composite,-1,False,-1,
FH,FHVendorAttachmentFileDatas,Composite,-1,False,-1,
FH,FHVendorGLDistributionDatas,Composite,-1,False,-1,
FH,FHVendorPaymentAmountDatas,Composite,-1,False,-1,
FH,FHVendorPaymentRefreshLogs,Composite,-1,False,-1,
FH,FHVendorSetupDatas,Composite,-1,False,-1,
FH,FHVoucherPrintTemplates,Composite,-1,False,-1,
FH,FHYearEndDistributionDatas,Composite,-1,False,-1,
FH,FHYearEndRollDatas,Composite,-1,False,-1,
FH,FH_MigrationHistory,Composite,-1,False,-1,
FH,ReportRelatedAccountBreakAccountLineMappings,Composite,-1,False,-1,
FH,ReportRelatedAccountBreaks,Composite,-1,False,-1,
